route,title,status,source
/,Tech-Powered Kandi,visited,wayback 20241222
/collections/all,Products,visited,wayback 20240913
/collections/beads,All Products,visited,wayback 2024
/how-it-works,How Soulstones Work,visited,wayback 20240911
/pages/how-soulstones-work,How Soulstones Work,visited,wayback 2024
/pages/faq,FAQ,visited,wayback 2024
/pages/partner,Partner with Soulstones,visited,wayback 2024
/pages/squad,Squad,blocked-404,wayback 2024
/ios-app,App Store listing,visited,wayback redirected to App Store
/blogs/soulstones,Soulstones Blog,visited,wayback 2024
/cart,Cart,inferred-shopify,nav icon
/policies/privacy-policy,Privacy,linked-footer,wayback
/policies/terms-of-service,Terms,linked-footer,wayback
/products/glo-kandi-beads-1,Glo Ghost,visited-card,collection
/products/heart-hands-soulstone-kandi-beads,Heart Hands,visited-card,collection
/products/limited-edition-soulstone-bucket-hat,Bucket Hat sold out,visited-card,collection
/products/plur-soulstone-beads,PLUR Beads,visited-card,collection
/products/soulstone-kandi-beads-10-pack,10 Pack,visited-card,collection
/products/soulstone-kandi-beads-3-pack,3 Pack,visited-card,collection
/products/soulstone-kandi-beads-5-pack,5 Pack,visited-card,collection
/products/soulstone-kandi-bracelets,Bracelets,visited-card,collection
/products/unicorn-kandi-beads,Unicorn,visited-card,collection
